semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,KAMA,54,45,KAMA,78,80
2024-01-15,T3,36,84,MIDPOINT,70,44
2024-01-22,MIDPOINT,33,70,WMA,69,55
2024-01-29,DEMA,75,104,MIDPOINT,61,48
2024-02-05,KAMA,36,79,MIDPOINT,39,73
2024-02-12,MIDPOINT,51,81,EMA,52,99
2024-02-19,TRIMA,86,88,EMA,84,64
2024-02-26,DEMA,81,89,MIDPOINT,91,31
2024-03-04,KAMA,74,73,DEMA,79,95
2024-03-11,KAMA,27,101,MIDPOINT,61,70
2024-03-18,TRIMA,77,39,TEMA,92,20
2024-03-25,KAMA,82,55,T3,89,24
2024-04-01,TRIMA,65,17,TRIMA,52,71
2024-04-08,TRIMA,77,8,TEMA,100,11
2024-04-15,EMA,78,107,TEMA,54,105
2024-04-22,SMA,85,109,T3,47,52
2024-04-29,TEMA,72,75,TEMA,72,68
2024-05-06,DEMA,75,76,MIDPOINT,50,34
2024-05-13,KAMA,82,89,TEMA,68,110
2024-05-20,EMA,50,84,T3,32,35
2024-05-27,SMA,39,78,TEMA,97,59
2024-06-03,MIDPOINT,77,37,T3,50,49
2024-06-10,DEMA,88,80,SMA,64,97
2024-06-17,EMA,44,99,SMA,32,67
2024-06-24,MIDPOINT,88,7,EMA,78,110
2024-07-01,SMA,92,78,MIDPOINT,76,103
2024-07-08,TEMA,61,92,MIDPOINT,90,101
2024-07-15,T3,20,91,MIDPOINT,96,82
2024-07-22,SMA,36,50,EMA,98,101
2024-07-29,KAMA,79,43,TEMA,86,61
2024-08-05,T3,94,35,MIDPOINT,44,103
2024-08-12,MIDPOINT,61,87,EMA,41,108
2024-08-19,T3,36,56,TRIMA,91,104
2024-08-26,EMA,79,55,KAMA,63,43
2024-09-02,TRIMA,86,78,T3,50,61
2024-09-09,TRIMA,47,82,T3,49,61
2024-09-16,T3,78,18,KAMA,45,83
2024-09-23,TEMA,72,78,MIDPOINT,25,94
2024-09-30,T3,27,83,SMA,48,60
2024-10-07,WMA,23,88,TEMA,35,97
2024-10-14,DEMA,82,4,EMA,99,7
2024-10-21,DEMA,65,108,TEMA,43,63
2024-10-28,TEMA,97,86,TEMA,61,109
2024-11-04,TEMA,62,98,KAMA,74,100
2024-11-11,KAMA,93,107,EMA,96,71
2024-11-18,KAMA,94,56,KAMA,88,41
2024-11-25,SMA,97,104,SMA,85,106
2024-12-02,DEMA,86,99,EMA,89,66
2024-12-09,TRIMA,55,54,DEMA,38,88
2024-12-16,T3,42,89,KAMA,76,36
2024-12-23,SMA,89,42,MIDPOINT,81,80
2024-12-30,TEMA,83,76,KAMA,44,93
2025-01-06,DEMA,78,110,MIDPOINT,53,73
2025-01-13,T3,32,27,MIDPOINT,57,105
2025-01-20,TEMA,53,109,DEMA,97,27
2025-01-27,TEMA,78,53,DEMA,86,41
2025-02-03,TEMA,86,38,DEMA,100,13
2025-02-10,MIDPOINT,92,57,MIDPOINT,92,105
2025-02-17,MIDPOINT,92,60,TRIMA,97,108
2025-02-24,MIDPOINT,98,60,WMA,52,10
2025-03-03,EMA,48,59,KAMA,60,83
2025-03-10,TRIMA,71,8,KAMA,94,86
2025-03-17,TEMA,86,81,TRIMA,89,63
2025-03-24,KAMA,100,60,T3,100,22
2025-03-31,TRIMA,94,63,SMA,89,58
2025-04-07,MIDPOINT,84,68,T3,49,34
2025-04-14,TEMA,99,65,MIDPOINT,89,78
