semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2026-01-05,TEMA,56,65,KAMA,64,105
2026-01-12,EMA,78,59,TEMA,97,44
2026-01-19,T3,54,28,MIDPOINT,55,110
2026-01-26,T3,85,10,SMA,75,83
2026-02-02,T3,66,9,EMA,61,53
2026-02-09,KAMA,100,110,DEMA,74,95
2026-02-16,T3,99,36,KAMA,98,80
2026-02-23,DEMA,98,92,KAMA,71,99
2026-03-02,SMA,64,99,KAMA,59,47
2026-03-09,DEMA,64,55,TEMA,84,42
2026-03-16,DEMA,76,108,TEMA,84,70
2026-03-23,DEMA,96,90,MIDPOINT,52,61
2026-03-30,TEMA,83,75,MIDPOINT,84,80
2026-04-06,DEMA,81,84,TRIMA,100,62
2026-04-13,KAMA,79,81,SMA,90,84
2026-04-20,WMA,43,51,KAMA,68,106
2026-04-27,KAMA,94,7,WMA,80,66
2026-05-04,TEMA,61,105,MIDPOINT,66,88
2026-05-11,TRIMA,98,89,TRIMA,87,103
2026-05-18,KAMA,88,107,TRIMA,96,91
2026-05-25,MIDPOINT,89,88,DEMA,85,108
2026-06-01,MIDPOINT,92,85,KAMA,52,107
2026-06-08,KAMA,92,74,KAMA,50,56
2026-06-15,KAMA,85,21,TEMA,73,36
2026-06-22,T3,51,43,TEMA,92,33
