semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-01,KAMA,93,92,T3,33,99
2024-01-08,KAMA,87,88,T3,56,92
2024-01-15,MIDPOINT,86,39,DEMA,84,85
2024-01-22,EMA,80,47,T3,34,105
2024-01-29,EMA,45,73,DEMA,87,110
2024-02-05,TEMA,99,97,T3,69,66
2024-02-12,SMA,80,82,DEMA,98,93
2024-02-19,KAMA,74,64,MIDPOINT,85,82
2024-02-26,TRIMA,100,78,TEMA,97,83
2024-03-04,MIDPOINT,76,24,SMA,87,59
2024-03-11,DEMA,65,108,DEMA,65,98
2024-03-18,KAMA,51,89,DEMA,100,67
2024-03-25,SMA,98,96,EMA,96,101
2024-04-01,T3,48,99,SMA,84,94
2024-04-08,KAMA,100,39,T3,48,110
2024-04-15,TRIMA,44,61,KAMA,96,80
2024-04-22,TRIMA,81,94,KAMA,70,67
2024-04-29,TRIMA,92,56,TEMA,99,50
2024-05-06,KAMA,96,92,KAMA,81,49
2024-05-13,SMA,74,17,SMA,62,78
2024-05-20,TEMA,90,110,T3,90,37
2024-05-27,T3,54,88,T3,83,53
2024-06-03,MIDPOINT,81,108,T3,48,88
2024-06-10,SMA,93,105,MIDPOINT,98,108
2024-06-17,KAMA,98,59,SMA,86,100
2024-06-24,TRIMA,51,100,T3,40,55
2024-07-01,SMA,95,83,DEMA,92,56
2024-07-08,MIDPOINT,57,60,TRIMA,85,90
2024-07-15,T3,96,51,TRIMA,83,94
2024-07-22,T3,38,91,EMA,84,81
2024-07-29,KAMA,85,89,SMA,91,82
2024-08-05,KAMA,72,100,TEMA,92,102
2024-08-12,MIDPOINT,63,42,TEMA,90,93
2024-08-19,TEMA,77,89,SMA,83,107
2024-08-26,WMA,68,110,DEMA,69,108
2024-09-02,SMA,95,89,MIDPOINT,66,92
2024-09-09,TRIMA,65,83,T3,35,80
2024-09-16,TEMA,58,84,MIDPOINT,54,93
2024-09-23,T3,51,81,T3,74,51
2024-09-30,MIDPOINT,71,96,DEMA,95,84
2024-10-07,TRIMA,96,93,WMA,100,94
2024-10-14,MIDPOINT,63,91,TEMA,40,88
2024-10-21,T3,82,30,KAMA,82,79
2024-10-28,TRIMA,100,106,T3,84,53
2024-11-04,T3,57,64,DEMA,92,100
2024-11-11,SMA,91,102,EMA,58,91
2024-11-18,KAMA,82,108,TEMA,100,105
2024-11-25,TEMA,92,34,T3,52,83
2024-12-02,KAMA,99,110,T3,57,82
2024-12-09,EMA,95,104,SMA,34,104
2024-12-16,T3,41,73,MIDPOINT,73,51
2024-12-23,WMA,64,44,T3,84,58
2024-12-30,TEMA,88,110,T3,69,61
2025-01-06,T3,73,72,T3,49,86
2025-01-13,SMA,94,48,DEMA,29,72
2025-01-20,T3,58,81,T3,92,56
2025-01-27,TEMA,95,79,TEMA,97,104
2025-02-03,MIDPOINT,78,87,T3,68,51
2025-02-10,EMA,84,10,TRIMA,55,105
2025-02-17,DEMA,94,92,KAMA,63,100
2025-02-24,KAMA,98,108,TRIMA,79,92
2025-03-03,SMA,94,82,KAMA,87,58
2025-03-10,WMA,97,91,DEMA,90,107
2025-03-17,WMA,89,83,EMA,73,84
2025-03-24,KAMA,63,106,T3,62,81
2025-03-31,DEMA,80,102,T3,66,88
2025-04-07,WMA,87,97,SMA,69,102
2025-04-14,T3,79,47,TRIMA,78,106
2025-04-21,MIDPOINT,86,109,MIDPOINT,92,82
2025-04-28,DEMA,70,96,TRIMA,86,60
2025-05-05,SMA,53,51,T3,60,80
2025-05-12,SMA,92,58,KAMA,95,66
2025-05-19,KAMA,72,107,DEMA,32,47
2025-05-26,SMA,89,98,TEMA,38,55
2025-06-02,KAMA,33,85,MIDPOINT,86,77
2025-06-09,EMA,45,97,KAMA,78,22
2025-06-16,T3,45,98,EMA,52,90
2025-06-23,MIDPOINT,88,109,KAMA,81,91
2025-06-30,TEMA,93,94,SMA,80,97
2025-07-07,T3,99,44,T3,14,47
2025-07-14,WMA,98,107,TEMA,99,91
2025-07-21,TRIMA,49,106,TEMA,82,99
2025-07-28,SMA,92,47,T3,44,98
2025-08-04,EMA,99,109,MIDPOINT,71,104
2025-08-11,T3,42,109,WMA,68,110
2025-08-18,TEMA,66,92,T3,87,49
2025-08-25,T3,85,40,T3,65,43
2025-09-01,WMA,20,74,DEMA,100,73
2025-09-08,MIDPOINT,60,100,EMA,86,86
2025-09-15,TEMA,94,79,KAMA,97,79
2025-09-22,MIDPOINT,99,73,T3,48,97
2025-09-29,MIDPOINT,64,109,DEMA,100,83
2025-10-06,MIDPOINT,91,80,KAMA,92,77
2025-10-13,MIDPOINT,62,102,TEMA,54,59
2025-10-20,SMA,92,98,DEMA,94,87
2025-10-27,T3,85,61,MIDPOINT,51,80
2025-11-03,T3,52,73,KAMA,67,48
2025-11-10,MIDPOINT,97,92,MIDPOINT,50,106
2025-11-17,T3,37,95,TEMA,78,31
2025-11-24,WMA,88,99,MIDPOINT,65,49
2025-12-01,WMA,36,66,MIDPOINT,93,42
2025-12-08,TEMA,79,79,TRIMA,24,91
2025-12-15,MIDPOINT,61,104,TEMA,85,91
2025-12-22,MIDPOINT,77,110,TRIMA,99,94
2025-12-29,MIDPOINT,78,73,KAMA,75,82
2026-01-05,KAMA,38,81,MIDPOINT,45,85
2026-01-12,KAMA,80,96,KAMA,47,17
2026-01-19,KAMA,80,94,KAMA,34,72
2026-01-26,DEMA,93,92,TEMA,41,38
2026-02-02,T3,80,50,DEMA,93,95
2026-02-09,EMA,88,69,SMA,40,92
2026-02-16,T3,54,75,MIDPOINT,94,110
2026-02-23,MIDPOINT,88,103,WMA,84,93
2026-03-02,WMA,93,95,MIDPOINT,99,89
2026-03-09,MIDPOINT,72,98,MIDPOINT,83,75
2026-03-16,TRIMA,96,96,SMA,94,82
2026-03-23,SMA,96,107,TRIMA,64,49
2026-03-30,KAMA,100,101,T3,44,101
2026-04-06,T3,73,77,DEMA,100,109
2026-04-13,TEMA,99,84,SMA,65,109
2026-04-20,T3,54,34,MIDPOINT,98,89
2026-04-27,SMA,76,56,TRIMA,37,80
2026-05-04,KAMA,79,53,SMA,100,24
