semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-01-06,EMA,96,24,T3,42,65
2025-01-13,KAMA,53,79,DEMA,94,66
2025-01-20,KAMA,95,89,KAMA,61,66
2025-01-27,EMA,45,100,TRIMA,53,72
2025-02-03,TRIMA,100,14,T3,51,59
2025-02-10,MIDPOINT,100,78,EMA,60,67
2025-02-17,EMA,88,80,KAMA,85,107
2025-02-24,DEMA,69,104,T3,78,43
2025-03-03,EMA,95,48,EMA,94,64
2025-03-10,EMA,85,108,MIDPOINT,41,90
2025-03-17,MIDPOINT,100,76,MIDPOINT,83,50
2025-03-24,KAMA,66,48,KAMA,80,33
2025-03-31,T3,48,41,MIDPOINT,73,108
2025-04-07,MIDPOINT,82,79,MIDPOINT,48,67
2025-04-14,TEMA,92,68,MIDPOINT,52,49
2025-04-21,TRIMA,89,101,MIDPOINT,26,107
2025-04-28,T3,29,58,MIDPOINT,41,63
2025-05-05,DEMA,50,95,T3,72,40
2025-05-12,WMA,77,60,MIDPOINT,54,62
