semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,SMA,45,71,WMA,68,56
2024-01-15,TEMA,95,16,EMA,59,72
2024-01-22,EMA,56,26,WMA,68,42
2024-01-29,SMA,48,79,EMA,52,34
2024-02-05,MIDPOINT,41,39,T3,51,18
2024-02-12,SMA,45,108,KAMA,58,82
2024-02-19,SMA,85,67,TRIMA,79,31
2024-02-26,EMA,80,85,SMA,59,22
2024-03-04,SMA,76,83,EMA,66,23
2024-03-11,DEMA,67,19,T3,59,16
2024-03-18,SMA,20,107,DEMA,52,44
2024-03-25,MIDPOINT,35,71,SMA,95,71
2024-04-01,SMA,43,48,TRIMA,68,11
2024-04-08,DEMA,92,14,T3,75,6
2024-04-15,TRIMA,15,105,WMA,68,104
2024-04-22,SMA,29,96,WMA,93,48
2024-04-29,T3,17,66,EMA,91,14
2024-05-06,TEMA,76,33,TEMA,28,63
2024-05-13,EMA,53,106,EMA,95,71
2024-05-20,TEMA,81,31,MIDPOINT,81,32
2024-05-27,MIDPOINT,88,28,TRIMA,55,66
2024-06-03,SMA,97,25,MIDPOINT,88,66
2024-06-10,KAMA,62,104,KAMA,73,59
2024-06-17,SMA,73,48,MIDPOINT,34,80
2024-06-24,WMA,77,48,TRIMA,33,108
2024-07-01,KAMA,42,64,EMA,56,63
2024-07-08,EMA,69,16,MIDPOINT,62,38
2024-07-15,WMA,85,20,SMA,100,10
2024-07-22,WMA,69,59,TRIMA,87,13
2024-07-29,MIDPOINT,29,77,MIDPOINT,71,15
2024-08-05,WMA,29,84,DEMA,63,55
2024-08-12,MIDPOINT,89,23,MIDPOINT,75,39
2024-08-19,MIDPOINT,40,102,MIDPOINT,61,21
2024-08-26,MIDPOINT,84,20,WMA,80,68
2024-09-02,MIDPOINT,49,101,TRIMA,91,26
2024-09-09,MIDPOINT,52,41,SMA,50,84
2024-09-16,WMA,37,64,WMA,58,46
2024-09-23,WMA,89,30,TRIMA,79,62
2024-09-30,EMA,95,48,SMA,84,68
2024-10-07,KAMA,80,44,TRIMA,79,58
2024-10-14,SMA,66,38,DEMA,88,34
2024-10-21,WMA,63,50,EMA,67,45
2024-10-28,SMA,96,33,TRIMA,72,32
2024-11-04,MIDPOINT,40,72,KAMA,54,61
2024-11-11,MIDPOINT,40,70,KAMA,66,92
2024-11-18,T3,29,37,T3,65,15
2024-11-25,T3,23,32,T3,30,26
2024-12-02,DEMA,88,25,TRIMA,91,60
2024-12-09,DEMA,69,33,DEMA,48,60
2024-12-16,KAMA,35,37,TRIMA,65,40
2024-12-23,TEMA,64,38,TEMA,74,31
2024-12-30,T3,59,16,EMA,37,35
2025-01-06,TEMA,87,21,KAMA,58,33
2025-01-13,TEMA,22,83,WMA,94,10
2025-01-20,DEMA,96,20,EMA,86,28
2025-01-27,TEMA,32,57,T3,72,11
