semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-11-17,TEMA,99,88,TRIMA,98,44
2025-11-24,T3,79,64,TEMA,70,106
2025-12-01,DEMA,77,68,T3,16,102
2025-12-08,EMA,79,89,MIDPOINT,88,101
2025-12-15,EMA,80,90,EMA,78,67
2025-12-22,TRIMA,88,87,MIDPOINT,76,96
2025-12-29,SMA,97,5,EMA,94,109
2026-01-05,DEMA,95,109,TRIMA,99,104
2026-01-12,EMA,94,91,KAMA,100,8
2026-01-19,TRIMA,95,88,WMA,22,64
2026-01-26,SMA,26,20,TEMA,92,83
2026-02-02,TEMA,90,110,TEMA,94,9
2026-02-09,SMA,64,101,KAMA,69,98
2026-02-16,TEMA,48,65,KAMA,96,56
2026-02-23,SMA,99,78,KAMA,96,94
2026-03-02,DEMA,89,107,SMA,100,76
2026-03-09,TRIMA,99,89,EMA,86,96
2026-03-16,TRIMA,86,98,TRIMA,93,101
2026-03-23,TEMA,79,106,MIDPOINT,87,110
2026-03-30,TEMA,55,106,TRIMA,82,101
2026-04-06,MIDPOINT,84,82,TRIMA,91,99
2026-04-13,DEMA,84,107,SMA,80,103
2026-04-20,T3,99,31,TEMA,81,97
2026-04-27,EMA,93,85,TRIMA,99,101
2026-05-04,TRIMA,90,75,T3,66,46
2026-05-11,EMA,98,108,WMA,83,105
2026-05-18,TRIMA,86,106,WMA,96,72
2026-05-25,MIDPOINT,96,104,KAMA,68,93
2026-06-01,T3,46,89,EMA,69,89
2026-06-08,TRIMA,90,110,WMA,71,56
