semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,SMA,45,104,EMA,99,44
2024-01-15,TRIMA,36,48,WMA,88,64
2024-01-22,TRIMA,36,102,KAMA,88,89
2024-01-29,SMA,98,32,MIDPOINT,55,92
2024-02-05,KAMA,41,99,KAMA,33,98
2024-02-12,EMA,41,76,SMA,32,99
2024-02-19,MIDPOINT,41,77,KAMA,50,40
2024-02-26,SMA,53,34,SMA,61,31
2024-03-04,EMA,66,45,TEMA,75,86
2024-03-11,T3,76,21,SMA,62,110
2024-03-18,EMA,14,93,TRIMA,71,95
2024-03-25,EMA,99,14,KAMA,69,71
2024-04-01,TEMA,100,79,T3,56,71
2024-04-08,TEMA,95,80,EMA,98,66
2024-04-15,WMA,38,13,SMA,53,81
2024-04-22,T3,35,89,TEMA,93,45
2024-04-29,T3,60,38,TEMA,55,108
2024-05-06,SMA,68,76,KAMA,61,45
2024-05-13,TRIMA,62,90,SMA,37,96
2024-05-20,EMA,61,74,KAMA,49,81
2024-05-27,TRIMA,45,84,KAMA,75,102
2024-06-03,KAMA,67,71,SMA,78,97
2024-06-10,SMA,83,99,MIDPOINT,82,82
2024-06-17,MIDPOINT,87,66,TRIMA,84,65
2024-06-24,T3,93,43,TRIMA,68,84
2024-07-01,TEMA,87,89,EMA,51,85
2024-07-08,KAMA,78,89,TRIMA,73,106
2024-07-15,DEMA,98,52,DEMA,73,13
2024-07-22,DEMA,90,7,T3,79,48
2024-07-29,TEMA,23,39,T3,49,57
2024-08-05,KAMA,94,53,T3,95,16
2024-08-12,WMA,91,68,EMA,22,104
2024-08-19,KAMA,53,84,WMA,54,4
2024-08-26,SMA,59,80,KAMA,86,81
2024-09-02,SMA,39,4,SMA,30,51
2024-09-09,MIDPOINT,15,20,WMA,88,46
2024-09-16,KAMA,16,85,MIDPOINT,78,88
2024-09-23,WMA,78,48,KAMA,20,30
2024-09-30,KAMA,46,47,DEMA,83,80
2024-10-07,MIDPOINT,76,9,MIDPOINT,96,76
2024-10-14,TEMA,69,91,EMA,73,42
2024-10-21,DEMA,69,92,TEMA,53,22
2024-10-28,DEMA,95,75,SMA,50,76
2024-11-04,DEMA,89,83,WMA,85,77
2024-11-11,TEMA,14,20,T3,40,80
2024-11-18,T3,77,39,TEMA,50,110
2024-11-25,MIDPOINT,77,22,EMA,69,41
2024-12-02,TEMA,79,39,TRIMA,33,65
2024-12-09,T3,50,50,TRIMA,66,31
2024-12-16,EMA,48,73,T3,33,75
2024-12-23,TEMA,96,25,MIDPOINT,79,68
2024-12-30,MIDPOINT,29,78,EMA,91,108
2025-01-06,KAMA,49,75,SMA,48,107
2025-01-13,EMA,27,2,EMA,14,108
2025-01-20,KAMA,23,20,EMA,87,72
2025-01-27,TEMA,73,80,EMA,29,15
2025-02-03,EMA,41,109,EMA,74,20
2025-02-10,SMA,64,16,WMA,75,105
2025-02-17,EMA,99,109,TEMA,96,31
2025-02-24,WMA,97,72,TEMA,92,4
2025-03-03,SMA,98,2,T3,34,68
2025-03-10,KAMA,21,31,TEMA,41,100
2025-03-17,TEMA,25,93,T3,36,87
2025-03-24,TEMA,40,64,TRIMA,89,100
2025-03-31,KAMA,9,58,MIDPOINT,100,56
2025-04-07,DEMA,59,97,KAMA,69,20
2025-04-14,MIDPOINT,53,93,TRIMA,1,105
2025-04-21,EMA,53,69,SMA,64,2
2025-04-28,WMA,73,84,T3,67,37
2025-05-05,KAMA,40,27,T3,42,85
2025-05-12,T3,35,55,MIDPOINT,46,91
2025-05-19,SMA,51,49,KAMA,66,69
2025-05-26,DEMA,61,103,KAMA,8,74
2025-06-02,SMA,79,98,DEMA,64,3
2025-06-09,SMA,68,78,MIDPOINT,91,105
2025-06-16,KAMA,44,106,DEMA,68,84
2025-06-23,KAMA,95,96,T3,87,46
2025-06-30,EMA,74,90,TEMA,53,86
2025-07-07,T3,31,66,T3,56,27
2025-07-14,T3,19,88,T3,46,45
2025-07-21,TRIMA,36,64,KAMA,46,103
2025-07-28,MIDPOINT,58,48,SMA,66,37
2025-08-04,T3,51,51,MIDPOINT,81,27
2025-08-11,T3,58,38,KAMA,51,67
2025-08-18,T3,96,26,T3,36,102
2025-08-25,SMA,64,44,T3,90,24
2025-09-01,KAMA,84,66,SMA,40,2
2025-09-08,WMA,79,97,TEMA,55,2
2025-09-15,MIDPOINT,55,106,WMA,40,6
2025-09-22,WMA,82,80,KAMA,78,97
2025-09-29,TEMA,50,14,EMA,84,106
2025-10-06,EMA,71,92,EMA,88,69
2025-10-13,SMA,11,4,T3,30,99
2025-10-20,EMA,64,88,EMA,73,80
2025-10-27,TRIMA,93,98,DEMA,41,14
2025-11-03,TEMA,82,35,WMA,97,109
2025-11-10,T3,71,18,TEMA,60,33
2025-11-17,TEMA,58,106,MIDPOINT,44,20
2025-11-24,DEMA,73,79,TEMA,93,52
2025-12-01,WMA,45,48,TEMA,73,73
2025-12-08,TRIMA,22,80,TRIMA,75,13
2025-12-15,KAMA,97,44,KAMA,22,69
2025-12-22,TRIMA,88,14,TEMA,67,99
2025-12-29,EMA,16,103,T3,25,75
2026-01-05,MIDPOINT,66,24,DEMA,46,72
2026-01-12,TEMA,80,82,TEMA,55,103
2026-01-19,DEMA,39,66,DEMA,83,43
2026-01-26,DEMA,94,94,MIDPOINT,57,7
2026-02-02,TEMA,21,35,TEMA,18,20
2026-02-09,SMA,55,26,DEMA,84,85
2026-02-16,KAMA,18,61,T3,18,90
2026-02-23,SMA,70,109,WMA,38,83
2026-03-02,EMA,61,96,KAMA,55,109
2026-03-09,TEMA,50,95,WMA,52,108
2026-03-16,DEMA,98,91,SMA,40,86
2026-03-23,DEMA,97,105,SMA,45,81
2026-03-30,EMA,13,67,EMA,49,68
2026-04-06,KAMA,87,102,MIDPOINT,98,107
2026-04-13,T3,64,2,TEMA,46,12
2026-04-20,TEMA,57,4,TEMA,3,106
2026-04-27,TEMA,34,8,TEMA,53,100
2026-05-04,TRIMA,93,78,SMA,68,92
2026-05-11,DEMA,76,107,TEMA,7,110
2026-05-18,TRIMA,64,4,DEMA,33,15
2026-05-25,T3,90,33,TEMA,46,109
2026-06-01,T3,23,109,TEMA,63,38
2026-06-08,DEMA,51,86,TRIMA,29,93
2026-06-15,T3,56,73,MIDPOINT,14,104
2026-06-22,KAMA,60,65,TRIMA,99,41
