semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,MIDPOINT,90,98,KAMA,93,72
2024-01-15,KAMA,86,54,WMA,96,92
2024-01-22,EMA,92,64,MIDPOINT,81,49
2024-01-29,EMA,100,109,MIDPOINT,49,63
2024-02-05,MIDPOINT,83,59,SMA,32,108
2024-02-12,EMA,98,47,EMA,78,94
2024-02-19,DEMA,57,62,WMA,79,109
2024-02-26,DEMA,34,104,WMA,97,109
2024-03-04,SMA,82,55,KAMA,72,55
2024-03-11,SMA,35,103,T3,59,40
2024-03-18,SMA,83,101,KAMA,70,36
2024-03-25,EMA,99,70,EMA,57,63
2024-04-01,T3,42,84,TRIMA,50,59
2024-04-08,T3,96,32,MIDPOINT,98,45
2024-04-15,WMA,85,97,WMA,91,72
2024-04-22,EMA,98,76,T3,21,110
2024-04-29,SMA,21,57,WMA,99,58
2024-05-06,SMA,87,95,MIDPOINT,49,81
2024-05-13,EMA,100,74,DEMA,95,104
2024-05-20,KAMA,83,78,SMA,94,92
2024-05-27,TEMA,80,53,T3,40,91
2024-06-03,SMA,43,94,DEMA,83,107
2024-06-10,MIDPOINT,82,102,DEMA,80,70
2024-06-17,SMA,41,95,MIDPOINT,99,60
2024-06-24,MIDPOINT,66,109,DEMA,88,109
2024-07-01,DEMA,94,106,EMA,79,72
2024-07-08,MIDPOINT,61,94,EMA,39,108
2024-07-15,SMA,78,76,MIDPOINT,77,72
2024-07-22,KAMA,89,48,TEMA,69,92
2024-07-29,TEMA,68,93,TEMA,75,100
2024-08-05,T3,77,40,T3,65,46
2024-08-12,DEMA,73,110,T3,32,62
2024-08-19,T3,35,68,KAMA,51,28
2024-08-26,TEMA,39,102,MIDPOINT,72,58
2024-09-02,DEMA,78,28,EMA,76,73
2024-09-09,T3,82,17,MIDPOINT,70,100
2024-09-16,SMA,72,98,TRIMA,46,86
2024-09-23,SMA,39,55,SMA,82,102
2024-09-30,T3,55,52,TEMA,52,104
2024-10-07,TRIMA,34,94,TEMA,99,58
2024-10-14,SMA,94,61,DEMA,67,87
2024-10-21,KAMA,76,105,WMA,43,87
2024-10-28,WMA,94,70,WMA,79,42
2024-11-04,MIDPOINT,38,41,EMA,38,65
2024-11-11,MIDPOINT,81,107,SMA,54,83
2024-11-18,MIDPOINT,49,77,EMA,63,108
2024-11-25,KAMA,78,88,KAMA,33,90
2024-12-02,TEMA,66,74,KAMA,60,86
2024-12-09,DEMA,66,93,MIDPOINT,89,68
2024-12-16,EMA,58,81,TEMA,84,102
2024-12-23,SMA,52,74,WMA,78,99
2024-12-30,SMA,72,44,MIDPOINT,72,96
2025-01-06,T3,25,109,MIDPOINT,67,109
2025-01-13,SMA,57,109,WMA,54,44
2025-01-20,T3,94,46,T3,32,106
2025-01-27,T3,66,42,MIDPOINT,99,43
2025-02-03,KAMA,58,92,DEMA,90,12
2025-02-10,SMA,92,110,WMA,94,89
2025-02-17,SMA,78,77,KAMA,91,83
2025-02-24,T3,33,103,SMA,95,83
2025-03-03,T3,21,97,T3,56,48
2025-03-10,KAMA,55,63,WMA,90,78
2025-03-17,MIDPOINT,30,101,T3,37,82
2025-03-24,MIDPOINT,36,75,T3,24,65
2025-03-31,KAMA,63,79,MIDPOINT,93,105
2025-04-07,KAMA,53,46,TRIMA,88,110
2025-04-14,EMA,68,62,TRIMA,68,94
2025-04-21,TEMA,11,102,TRIMA,87,93
2025-04-28,MIDPOINT,85,104,TEMA,89,83
2025-05-05,TEMA,43,10,TRIMA,98,81
2025-05-12,SMA,97,99,T3,66,40
2025-05-19,KAMA,64,110,KAMA,70,105
2025-05-26,T3,48,60,EMA,64,110
2025-06-02,EMA,65,87,WMA,98,79
2025-06-09,KAMA,87,110,SMA,95,108
2025-06-16,EMA,85,107,MIDPOINT,90,85
2025-06-23,MIDPOINT,92,107,KAMA,95,87
2025-06-30,KAMA,94,83,SMA,83,67
2025-07-07,DEMA,66,101,TEMA,80,105
2025-07-14,EMA,100,102,TEMA,51,109
2025-07-21,T3,36,100,T3,22,103
2025-07-28,TEMA,94,58,TEMA,88,20
2025-08-04,TEMA,81,82,DEMA,45,21
2025-08-11,TEMA,45,93,TEMA,52,94
2025-08-18,EMA,93,63,TEMA,19,31
2025-08-25,TEMA,62,23,WMA,72,106
2025-09-01,TRIMA,79,57,KAMA,99,92
2025-09-08,MIDPOINT,88,101,MIDPOINT,69,45
2025-09-15,DEMA,75,98,KAMA,100,12
2025-09-22,T3,28,59,TEMA,64,108
2025-09-29,EMA,83,61,T3,82,49
2025-10-06,EMA,9,4,SMA,91,55
2025-10-13,EMA,72,85,MIDPOINT,77,88
2025-10-20,TEMA,78,108,EMA,91,90
2025-10-27,TEMA,97,30,TEMA,48,24
2025-11-03,SMA,97,99,TEMA,90,53
2025-11-10,WMA,4,49,WMA,57,63
2025-11-17,TEMA,58,110,MIDPOINT,88,83
2025-11-24,EMA,53,61,DEMA,66,104
2025-12-01,EMA,82,37,WMA,94,94
2025-12-08,SMA,79,22,TRIMA,83,59
2025-12-15,SMA,72,75,KAMA,28,71
2025-12-22,WMA,93,81,MIDPOINT,83,59
