semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,WMA,83,76,KAMA,45,55
2024-01-15,KAMA,51,56,T3,26,85
2024-01-22,MIDPOINT,89,107,EMA,76,97
2024-01-29,TEMA,54,98,MIDPOINT,94,77
2024-02-05,T3,57,49,T3,61,60
2024-02-12,EMA,47,109,MIDPOINT,95,80
2024-02-19,EMA,88,69,SMA,73,94
2024-02-26,EMA,54,103,KAMA,77,110
2024-03-04,SMA,86,71,KAMA,97,60
2024-03-11,SMA,51,70,T3,41,91
2024-03-18,EMA,45,67,DEMA,92,104
2024-03-25,KAMA,52,82,DEMA,78,86
2024-04-01,DEMA,43,103,T3,18,101
2024-04-08,DEMA,90,35,MIDPOINT,87,100
2024-04-15,SMA,100,110,T3,41,47
2024-04-22,T3,97,37,SMA,30,83
2024-04-29,DEMA,97,83,TRIMA,71,19
2024-05-06,KAMA,99,106,MIDPOINT,48,58
2024-05-13,TEMA,31,33,EMA,45,36
2024-05-20,TEMA,72,14,EMA,80,96
2024-05-27,TRIMA,94,41,T3,44,71
2024-06-03,EMA,90,105,MIDPOINT,68,75
2024-06-10,KAMA,71,89,SMA,67,81
2024-06-17,KAMA,52,50,SMA,64,100
2024-06-24,TEMA,100,67,KAMA,58,83
2024-07-01,T3,37,63,TRIMA,37,104
2024-07-08,EMA,88,99,MIDPOINT,43,66
2024-07-15,MIDPOINT,50,109,TRIMA,49,87
2024-07-22,TEMA,47,39,TEMA,68,38
2024-07-29,TEMA,78,15,TEMA,82,24
2024-08-05,T3,12,15,TEMA,27,85
2024-08-12,MIDPOINT,30,9,TEMA,15,82
2024-08-19,TEMA,53,90,MIDPOINT,82,107
2024-08-26,DEMA,55,61,TEMA,21,56
2024-09-02,MIDPOINT,37,59,DEMA,87,73
2024-09-09,DEMA,98,43,DEMA,60,77
2024-09-16,DEMA,60,67,TEMA,68,60
2024-09-23,T3,76,40,TEMA,87,12
2024-09-30,TEMA,35,26,DEMA,61,8
2024-10-07,MIDPOINT,79,101,T3,47,75
2024-10-14,KAMA,65,91,KAMA,18,8
2024-10-21,SMA,64,48,KAMA,69,97
2024-10-28,SMA,49,101,WMA,78,2
2024-11-04,EMA,87,2,WMA,94,108
2024-11-11,T3,30,96,SMA,99,51
2024-11-18,MIDPOINT,98,105,TRIMA,50,101
2024-11-25,TRIMA,99,102,KAMA,98,74
2024-12-02,DEMA,78,110,KAMA,93,25
2024-12-09,KAMA,91,33,KAMA,85,16
2024-12-16,KAMA,46,39,T3,48,42
2024-12-23,TEMA,53,32,TEMA,90,42
2024-12-30,DEMA,19,68,T3,24,84
2025-01-06,WMA,100,99,KAMA,41,101
2025-01-13,TRIMA,75,103,KAMA,55,109
2025-01-20,KAMA,12,75,TEMA,55,16
2025-01-27,KAMA,15,31,TEMA,99,72
2025-02-03,EMA,28,24,EMA,26,110
2025-02-10,EMA,21,27,SMA,38,106
2025-02-17,EMA,12,46,SMA,58,3
2025-02-24,TEMA,64,5,KAMA,60,108
2025-03-03,TEMA,82,101,WMA,86,107
2025-03-10,DEMA,95,72,MIDPOINT,42,98
2025-03-17,EMA,66,58,KAMA,29,80
2025-03-24,EMA,65,87,KAMA,60,48
2025-03-31,TEMA,40,51,TEMA,69,88
2025-04-07,TEMA,34,32,T3,88,28
2025-04-14,TEMA,67,106,WMA,47,68
2025-04-21,T3,33,76,SMA,24,104
2025-04-28,DEMA,90,45,KAMA,75,65
2025-05-05,TEMA,27,79,DEMA,72,41
2025-05-12,DEMA,36,72,T3,63,56
2025-05-19,T3,36,31,DEMA,73,99
