semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,TRIMA,75,92,T3,27,62
2024-01-15,DEMA,59,100,DEMA,48,101
2024-01-22,T3,74,19,TEMA,51,6
2024-01-29,SMA,22,96,DEMA,47,9
2024-02-05,MIDPOINT,64,97,DEMA,95,96
2024-02-12,SMA,77,97,TRIMA,95,88
2024-02-19,MIDPOINT,72,98,MIDPOINT,77,73
2024-02-26,TRIMA,82,100,TEMA,55,22
2024-03-04,TRIMA,86,93,DEMA,27,5
2024-03-11,EMA,97,97,TRIMA,70,54
2024-03-18,SMA,92,97,SMA,93,110
2024-03-25,TEMA,90,83,SMA,90,102
2024-04-01,TEMA,56,90,TRIMA,74,45
2024-04-08,KAMA,100,66,T3,64,39
2024-04-15,EMA,67,86,KAMA,67,51
2024-04-22,MIDPOINT,85,34,TRIMA,67,41
2024-04-29,MIDPOINT,71,61,TRIMA,42,88
2024-05-06,DEMA,78,109,DEMA,45,7
2024-05-13,DEMA,99,88,T3,65,58
2024-05-20,EMA,42,91,KAMA,63,45
2024-05-27,SMA,68,46,T3,55,64
2024-06-03,EMA,28,40,DEMA,92,85
2024-06-10,TRIMA,45,39,KAMA,98,62
2024-06-17,T3,83,30,EMA,68,81
2024-06-24,MIDPOINT,68,109,EMA,41,2
2024-07-01,MIDPOINT,84,99,EMA,80,58
2024-07-08,DEMA,89,97,EMA,67,71
2024-07-15,SMA,70,89,TEMA,85,101
2024-07-22,T3,96,2,TEMA,61,87
2024-07-29,MIDPOINT,8,91,MIDPOINT,36,78
2024-08-05,TEMA,53,88,SMA,36,109
2024-08-12,T3,100,27,TRIMA,42,93
2024-08-19,TEMA,66,100,SMA,65,75
2024-08-26,T3,15,100,T3,100,37
2024-09-02,T3,63,34,WMA,74,91
2024-09-09,SMA,96,23,T3,31,68
2024-09-16,TEMA,76,95,DEMA,94,7
2024-09-23,TEMA,66,75,MIDPOINT,94,4
2024-09-30,SMA,73,79,TEMA,67,102
2024-10-07,MIDPOINT,73,14,T3,28,42
2024-10-14,WMA,88,39,SMA,92,23
2024-10-21,EMA,72,38,DEMA,88,95
2024-10-28,SMA,90,64,DEMA,79,102
2024-11-04,MIDPOINT,90,109,KAMA,96,55
2024-11-11,KAMA,39,91,TEMA,46,11
2024-11-18,TEMA,29,23,DEMA,97,5
2024-11-25,TEMA,79,30,TEMA,56,76
2024-12-02,TEMA,45,94,SMA,45,52
2024-12-09,DEMA,100,55,T3,85,18
2024-12-16,KAMA,25,108,DEMA,82,106
2024-12-23,EMA,70,47,EMA,100,34
2024-12-30,MIDPOINT,82,108,KAMA,85,82
2025-01-06,TEMA,98,92,KAMA,70,62
2025-01-13,KAMA,96,76,KAMA,53,28
2025-01-20,T3,56,30,TRIMA,40,72
2025-01-27,T3,53,46,TEMA,69,8
2025-02-03,KAMA,75,102,DEMA,83,92
2025-02-10,WMA,90,37,SMA,78,108
2025-02-17,EMA,75,105,MIDPOINT,99,105
2025-02-24,T3,17,50,T3,54,20
2025-03-03,DEMA,89,20,T3,25,83
2025-03-10,T3,82,42,T3,24,97
2025-03-17,DEMA,97,87,KAMA,36,101
2025-03-24,EMA,97,97,MIDPOINT,30,109
2025-03-31,KAMA,92,99,KAMA,48,69
2025-04-07,TEMA,61,14,KAMA,64,109
2025-04-14,TEMA,47,13,WMA,79,56
2025-04-21,T3,55,40,EMA,98,27
2025-04-28,DEMA,64,63,MIDPOINT,90,27
2025-05-05,WMA,62,57,TEMA,63,33
2025-05-12,T3,32,39,DEMA,83,90
2025-05-19,SMA,20,95,T3,33,80
2025-05-26,SMA,18,92,EMA,69,64
2025-06-02,WMA,22,107,KAMA,85,107
2025-06-09,T3,52,33,DEMA,76,44
2025-06-16,TEMA,100,67,TEMA,78,92
2025-06-23,T3,24,38,DEMA,82,83
2025-06-30,SMA,37,30,MIDPOINT,28,60
2025-07-07,SMA,79,70,T3,47,79
2025-07-14,SMA,53,105,DEMA,49,106
