semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-01,EMA,65,29,T3,68,26
2024-01-08,KAMA,96,33,EMA,30,78
2024-01-15,WMA,69,62,DEMA,94,63
2024-01-22,EMA,97,105,DEMA,43,110
2024-01-29,WMA,82,56,T3,31,102
2024-02-05,SMA,55,70,TEMA,75,91
2024-02-12,TRIMA,43,101,KAMA,59,97
2024-02-19,KAMA,93,107,DEMA,98,107
2024-02-26,KAMA,76,105,MIDPOINT,96,71
2024-03-04,WMA,89,109,MIDPOINT,56,94
2024-03-11,MIDPOINT,81,60,EMA,71,72
2024-03-18,MIDPOINT,66,69,SMA,83,73
2024-03-25,MIDPOINT,56,95,TRIMA,83,73
2024-04-01,SMA,39,97,TRIMA,71,70
2024-04-08,WMA,78,107,DEMA,94,96
2024-04-15,SMA,86,51,MIDPOINT,36,74
2024-04-22,MIDPOINT,82,83,MIDPOINT,76,19
2024-04-29,TRIMA,74,69,MIDPOINT,99,39
2024-05-06,T3,86,33,KAMA,67,44
2024-05-13,KAMA,95,16,SMA,88,75
2024-05-20,EMA,21,106,EMA,60,77
2024-05-27,MIDPOINT,35,68,MIDPOINT,74,107
2024-06-03,KAMA,74,106,WMA,83,71
2024-06-10,MIDPOINT,94,51,KAMA,81,108
2024-06-17,KAMA,69,94,SMA,87,99
2024-06-24,T3,94,12,KAMA,90,103
2024-07-01,TRIMA,91,104,EMA,99,82
2024-07-08,SMA,50,69,MIDPOINT,82,96
2024-07-15,WMA,94,101,TRIMA,84,92
2024-07-22,DEMA,42,93,DEMA,83,85
2024-07-29,MIDPOINT,8,36,MIDPOINT,38,102
2024-08-05,TEMA,54,107,KAMA,83,90
2024-08-12,MIDPOINT,71,53,TEMA,92,78
2024-08-19,TEMA,85,54,MIDPOINT,51,76
2024-08-26,T3,95,13,T3,29,110
2024-09-02,EMA,39,110,TRIMA,80,68
2024-09-09,TRIMA,76,92,TEMA,55,92
2024-09-16,TEMA,80,73,KAMA,91,48
2024-09-23,TEMA,93,37,EMA,71,79
2024-09-30,T3,94,26,T3,66,67
2024-10-07,WMA,24,96,TEMA,95,45
2024-10-14,EMA,41,78,KAMA,68,86
2024-10-21,T3,21,82,SMA,82,103
2024-10-28,KAMA,92,52,TEMA,52,101
2024-11-04,KAMA,75,93,EMA,89,110
2024-11-11,TEMA,47,11,WMA,85,87
2024-11-18,DEMA,97,61,EMA,20,80
2024-11-25,DEMA,30,70,TEMA,64,50
2024-12-02,DEMA,78,83,MIDPOINT,73,86
2024-12-09,T3,26,74,EMA,53,104
2024-12-16,WMA,41,71,EMA,90,82
2024-12-23,SMA,100,85,TRIMA,80,58
2024-12-30,SMA,74,67,DEMA,71,65
2025-01-06,KAMA,88,104,KAMA,99,107
2025-01-13,MIDPOINT,61,81,KAMA,100,33
2025-01-20,TRIMA,91,103,KAMA,94,66
2025-01-27,TEMA,73,84,TEMA,82,98
2025-02-03,KAMA,38,80,TEMA,77,100
2025-02-10,KAMA,97,3,EMA,87,91
2025-02-17,TRIMA,62,108,KAMA,67,100
2025-02-24,TRIMA,84,43,T3,33,104
2025-03-03,SMA,78,15,T3,49,68
2025-03-10,KAMA,53,20,T3,87,30
2025-03-17,T3,77,42,TRIMA,59,106
2025-03-24,T3,32,93,MIDPOINT,53,50
2025-03-31,EMA,80,46,SMA,93,26
2025-04-07,SMA,95,99,EMA,87,83
2025-04-14,T3,37,87,MIDPOINT,77,49
2025-04-21,DEMA,64,95,WMA,98,37
2025-04-28,KAMA,91,74,MIDPOINT,26,103
2025-05-05,TEMA,77,45,SMA,89,31
2025-05-12,T3,34,31,TEMA,74,103
2025-05-19,SMA,19,99,KAMA,82,105
2025-05-26,KAMA,41,109,TEMA,84,81
2025-06-02,KAMA,72,84,TEMA,57,49
2025-06-09,EMA,86,67,TRIMA,94,100
2025-06-16,EMA,45,95,TEMA,96,83
2025-06-23,DEMA,44,71,T3,33,97
2025-06-30,KAMA,92,26,T3,70,39
2025-07-07,MIDPOINT,26,77,EMA,68,78
2025-07-14,SMA,59,24,WMA,95,102
2025-07-21,MIDPOINT,70,70,MIDPOINT,61,79
2025-07-28,TEMA,90,49,TRIMA,96,88
2025-08-04,SMA,49,88,T3,57,56
2025-08-11,WMA,92,79,DEMA,76,105
2025-08-18,DEMA,86,98,SMA,66,92
2025-08-25,WMA,81,88,DEMA,87,85
2025-09-01,MIDPOINT,58,102,SMA,75,77
2025-09-08,KAMA,81,46,KAMA,90,48
2025-09-15,TRIMA,47,92,KAMA,89,89
2025-09-22,WMA,100,44,WMA,84,105
2025-09-29,TRIMA,33,39,T3,35,79
2025-10-06,KAMA,56,98,WMA,90,76
2025-10-13,DEMA,84,103,T3,79,44
2025-10-20,TEMA,84,106,KAMA,70,77
2025-10-27,DEMA,100,80,KAMA,49,101
2025-11-03,EMA,76,92,MIDPOINT,98,94
2025-11-10,SMA,81,81,MIDPOINT,70,106
2025-11-17,DEMA,56,98,EMA,95,90
2025-11-24,SMA,100,99,TRIMA,32,78
2025-12-01,SMA,86,104,SMA,42,53
2025-12-08,TEMA,80,58,SMA,81,29
2025-12-15,KAMA,32,110,WMA,53,59
2025-12-22,SMA,100,43,DEMA,69,62
2025-12-29,TRIMA,56,70,KAMA,96,51
2026-01-05,KAMA,95,89,TEMA,94,49
2026-01-12,DEMA,94,30,EMA,82,103
2026-01-19,SMA,70,96,TEMA,91,75
2026-01-26,TRIMA,74,66,TRIMA,92,84
2026-02-02,MIDPOINT,63,41,EMA,86,55
2026-02-09,SMA,94,109,KAMA,88,99
2026-02-16,SMA,95,109,TRIMA,92,110
2026-02-23,SMA,61,105,MIDPOINT,71,95
2026-03-02,T3,31,72,WMA,76,106
2026-03-09,MIDPOINT,96,97,EMA,81,93
2026-03-16,EMA,55,78,WMA,98,95
2026-03-23,WMA,16,5,SMA,65,76
2026-03-30,T3,31,109,EMA,41,84
2026-04-06,T3,20,67,EMA,70,72
2026-04-13,TEMA,57,93,TRIMA,49,86
2026-04-20,T3,28,38,WMA,39,75
2026-04-27,TRIMA,29,50,T3,48,68
2026-05-04,KAMA,52,53,EMA,94,70
2026-05-11,WMA,44,89,EMA,88,92
2026-05-18,EMA,60,110,T3,72,55
2026-05-25,DEMA,91,20,DEMA,61,87
2026-06-01,TEMA,47,104,T3,99,33
2026-06-08,DEMA,83,101,T3,43,59
