semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,TEMA,85,5,DEMA,52,4
2024-01-15,TEMA,63,60,TEMA,66,82
2024-01-22,KAMA,35,101,KAMA,66,90
2024-01-29,SMA,49,82,EMA,79,100
2024-02-05,WMA,66,90,EMA,81,73
2024-02-12,TRIMA,98,61,MIDPOINT,58,109
2024-02-19,TRIMA,52,110,T3,42,84
2024-02-26,EMA,43,97,DEMA,92,95
2024-03-04,SMA,76,88,KAMA,60,90
2024-03-11,TEMA,43,14,KAMA,89,34
2024-03-18,TEMA,94,15,DEMA,61,9
2024-03-25,TEMA,64,66,T3,26,110
2024-04-01,WMA,74,48,DEMA,62,91
2024-04-08,WMA,36,110,SMA,91,61
2024-04-15,WMA,40,108,TRIMA,96,71
2024-04-22,EMA,50,86,SMA,62,73
2024-04-29,SMA,29,74,SMA,87,54
2024-05-06,TEMA,17,58,TRIMA,67,76
2024-05-13,TEMA,97,11,TEMA,42,14
2024-05-20,DEMA,26,17,DEMA,38,7
2024-05-27,WMA,93,91,DEMA,86,100
2024-06-03,TRIMA,100,95,TRIMA,85,67
2024-06-10,KAMA,83,110,DEMA,94,105
2024-06-17,DEMA,78,108,DEMA,73,101
2024-06-24,DEMA,71,89,WMA,73,83
2024-07-01,DEMA,72,84,KAMA,93,100
2024-07-08,EMA,23,66,WMA,73,82
2024-07-15,WMA,46,70,WMA,53,99
2024-07-22,EMA,70,72,EMA,58,86
2024-07-29,EMA,70,92,EMA,51,109
2024-08-05,TRIMA,98,71,WMA,63,90
2024-08-12,TEMA,83,88,EMA,63,72
2024-08-19,T3,68,60,EMA,68,59
2024-08-26,WMA,43,107,TRIMA,49,106
2024-09-02,MIDPOINT,100,69,KAMA,67,49
2024-09-09,EMA,94,10,DEMA,54,20
2024-09-16,TEMA,63,3,TEMA,64,83
2024-09-23,TEMA,64,68,TEMA,65,57
2024-09-30,TEMA,79,60,KAMA,89,29
2024-10-07,DEMA,50,103,DEMA,93,2
2024-10-14,KAMA,46,28,T3,72,50
2024-10-21,WMA,85,90,TEMA,69,102
2024-10-28,TRIMA,44,109,T3,52,79
2024-11-04,MIDPOINT,66,69,DEMA,89,106
2024-11-11,KAMA,77,97,SMA,98,107
2024-11-18,MIDPOINT,61,62,TEMA,35,4
2024-11-25,MIDPOINT,77,59,T3,38,91
2024-12-02,SMA,87,102,TEMA,97,61
2024-12-09,TEMA,78,95,SMA,100,79
2024-12-16,TEMA,64,86,DEMA,86,45
2024-12-23,EMA,39,85,WMA,38,2
2024-12-30,TRIMA,52,74,T3,94,39
2025-01-06,SMA,51,63,T3,93,60
2025-01-13,DEMA,64,72,EMA,100,73
2025-01-20,WMA,94,87,DEMA,62,101
2025-01-27,T3,52,86,EMA,56,62
2025-02-03,DEMA,100,98,EMA,65,104
2025-02-10,MIDPOINT,98,107,KAMA,72,106
2025-02-17,DEMA,89,98,SMA,88,89
2025-02-24,MIDPOINT,4,38,DEMA,39,103
2025-03-03,TEMA,97,74,WMA,52,5
2025-03-10,T3,86,27,WMA,47,74
2025-03-17,TEMA,66,104,MIDPOINT,40,68
2025-03-24,TEMA,84,78,EMA,86,87
2025-03-31,SMA,48,99,KAMA,91,14
2025-04-07,TRIMA,84,44,T3,55,40
2025-04-14,TEMA,73,96,EMA,81,88
2025-04-21,TEMA,66,108,T3,36,86
2025-04-28,TEMA,78,70,TRIMA,85,101
2025-05-05,TEMA,36,72,MIDPOINT,91,15
2025-05-12,TRIMA,100,58,EMA,19,70
2025-05-19,EMA,92,102,TEMA,79,5
2025-05-26,MIDPOINT,69,110,TEMA,51,104
2025-06-02,EMA,88,91,TEMA,93,40
2025-06-09,SMA,66,100,TRIMA,41,16
2025-06-16,KAMA,75,110,TEMA,66,106
2025-06-23,SMA,91,97,TEMA,15,63
2025-06-30,SMA,40,75,TEMA,15,67
2025-07-07,EMA,63,99,KAMA,46,107
2025-07-14,TRIMA,67,55,TEMA,89,99
2025-07-21,TEMA,64,102,KAMA,59,71
2025-07-28,DEMA,80,59,DEMA,80,76
2025-08-04,TEMA,43,4,KAMA,92,107
2025-08-11,KAMA,35,49,KAMA,87,73
2025-08-18,T3,34,83,DEMA,65,110
2025-08-25,KAMA,96,102,KAMA,72,97
2025-09-01,EMA,100,38,MIDPOINT,65,44
2025-09-08,EMA,62,66,T3,76,22
2025-09-15,KAMA,92,76,DEMA,84,101
2025-09-22,SMA,90,79,EMA,73,2
2025-09-29,KAMA,81,97,KAMA,81,97
2025-10-06,KAMA,95,38,T3,46,81
2025-10-13,TEMA,9,103,DEMA,95,59
2025-10-20,DEMA,25,16,KAMA,53,104
2025-10-27,TEMA,81,61,T3,15,107
2025-11-03,TEMA,49,108,KAMA,34,71
2025-11-10,SMA,97,107,TEMA,69,109
2025-11-17,TRIMA,16,88,DEMA,75,104
2025-11-24,EMA,82,100,WMA,88,95
2025-12-01,TEMA,28,23,EMA,52,69
2025-12-08,KAMA,36,28,EMA,58,59
2025-12-15,MIDPOINT,98,38,MIDPOINT,44,66
2025-12-22,KAMA,71,33,T3,15,5
2025-12-29,EMA,93,100,TEMA,2,104
2026-01-05,EMA,99,97,TEMA,81,90
2026-01-12,SMA,52,100,TEMA,61,35
2026-01-19,KAMA,80,100,TEMA,80,34
2026-01-26,TRIMA,27,18,T3,34,94
2026-02-02,T3,15,17,EMA,94,87
2026-02-09,TEMA,70,101,EMA,93,98
2026-02-16,TEMA,29,91,TEMA,82,64
2026-02-23,TEMA,65,28,TEMA,46,51
2026-03-02,T3,49,30,DEMA,90,53
2026-03-09,TRIMA,42,80,T3,85,46
2026-03-16,SMA,40,80,TRIMA,25,14
2026-03-23,TRIMA,48,85,T3,49,66
2026-03-30,WMA,80,69,TRIMA,5,70
2026-04-06,WMA,97,96,MIDPOINT,52,4
2026-04-13,TRIMA,86,76,SMA,48,3
2026-04-20,SMA,73,84,TRIMA,79,90
2026-04-27,KAMA,66,88,KAMA,83,91
2026-05-04,TRIMA,90,83,TRIMA,74,97
2026-05-11,KAMA,71,17,KAMA,76,54
2026-05-18,TEMA,42,109,WMA,95,49
2026-05-25,DEMA,97,37,TEMA,56,98
2026-06-01,TEMA,31,77,TRIMA,78,71
2026-06-08,EMA,20,84,DEMA,23,41
2026-06-15,SMA,22,102,EMA,22,28
