semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,EMA,83,79,T3,26,94
2024-01-15,TEMA,99,54,T3,25,70
2024-01-22,MIDPOINT,91,100,KAMA,95,14
2024-01-29,SMA,85,105,TEMA,73,97
2024-02-05,SMA,74,84,KAMA,92,73
2024-02-12,MIDPOINT,63,35,KAMA,92,8
2024-02-19,MIDPOINT,74,27,TRIMA,29,31
2024-02-26,KAMA,76,14,WMA,94,77
2024-03-04,DEMA,74,67,WMA,77,25
2024-03-11,DEMA,46,67,TEMA,87,96
2024-03-18,MIDPOINT,45,77,TEMA,80,76
2024-03-25,EMA,77,46,TRIMA,65,100
2024-04-01,T3,26,7,KAMA,82,95
2024-04-08,T3,61,17,SMA,71,110
2024-04-15,SMA,84,69,TRIMA,86,80
2024-04-22,WMA,86,90,EMA,69,77
2024-04-29,TRIMA,73,7,DEMA,93,76
2024-05-06,MIDPOINT,46,54,MIDPOINT,71,105
2024-05-13,MIDPOINT,69,38,MIDPOINT,25,86
2024-05-20,DEMA,73,78,DEMA,85,4
2024-05-27,TEMA,70,11,TEMA,12,56
2024-06-03,TEMA,63,106,T3,34,72
2024-06-10,DEMA,42,6,MIDPOINT,84,69
2024-06-17,TEMA,56,6,KAMA,99,84
2024-06-24,TEMA,88,3,MIDPOINT,100,53
2024-07-01,TRIMA,96,107,MIDPOINT,93,96
2024-07-08,MIDPOINT,39,106,SMA,81,91
2024-07-15,DEMA,84,86,TRIMA,97,3
2024-07-22,DEMA,26,22,DEMA,43,5
2024-07-29,TEMA,78,4,DEMA,85,94
2024-08-05,DEMA,36,17,DEMA,72,3
2024-08-12,TEMA,53,91,TEMA,63,19
2024-08-19,T3,21,94,WMA,70,5
2024-08-26,DEMA,77,91,KAMA,97,18
2024-09-02,SMA,70,91,T3,45,57
2024-09-09,MIDPOINT,85,63,WMA,90,96
2024-09-16,WMA,68,98,KAMA,89,35
2024-09-23,MIDPOINT,83,38,KAMA,48,13
2024-09-30,KAMA,63,43,TEMA,36,46
2024-10-07,EMA,55,88,TEMA,89,83
2024-10-14,EMA,22,21,KAMA,78,105
2024-10-21,TEMA,35,77,MIDPOINT,91,107
2024-10-28,EMA,96,23,TEMA,40,110
2024-11-04,SMA,65,97,SMA,90,88
2024-11-11,TRIMA,92,93,KAMA,98,86
2024-11-18,DEMA,97,100,T3,41,53
2024-11-25,TEMA,51,105,T3,74,48
2024-12-02,WMA,91,72,MIDPOINT,72,40
2024-12-09,MIDPOINT,59,82,MIDPOINT,66,47
2024-12-16,EMA,82,108,WMA,63,102
2024-12-23,SMA,77,90,MIDPOINT,93,22
2024-12-30,TEMA,81,60,TEMA,98,52
2025-01-06,TRIMA,72,88,SMA,60,103
2025-01-13,EMA,72,60,SMA,35,15
2025-01-20,EMA,51,103,T3,3,109
2025-01-27,DEMA,60,12,T3,6,71
2025-02-03,MIDPOINT,33,109,TRIMA,27,91
2025-02-10,MIDPOINT,61,54,TEMA,85,95
2025-02-17,TRIMA,46,64,T3,42,93
2025-02-24,KAMA,79,52,DEMA,83,107
2025-03-03,T3,54,7,TEMA,79,83
2025-03-10,TEMA,69,99,TEMA,55,61
2025-03-17,DEMA,64,30,DEMA,64,30
2025-03-24,KAMA,37,45,DEMA,89,10
2025-03-31,EMA,65,60,KAMA,23,25
2025-04-07,WMA,78,11,TEMA,62,52
2025-04-14,TEMA,70,35,TEMA,36,71
2025-04-21,SMA,64,7,TRIMA,55,109
2025-04-28,EMA,92,106,DEMA,25,11
2025-05-05,TEMA,27,16,SMA,53,109
2025-05-12,KAMA,91,89,DEMA,51,102
2025-05-19,TRIMA,99,97,TRIMA,58,49
2025-05-26,KAMA,98,96,MIDPOINT,52,109
2025-06-02,TRIMA,74,69,TEMA,67,92
2025-06-09,EMA,74,96,TEMA,56,102
2025-06-16,EMA,83,20,DEMA,78,26
2025-06-23,EMA,91,95,TEMA,72,35
2025-06-30,TEMA,63,57,TEMA,48,109
2025-07-07,SMA,96,5,EMA,81,110
2025-07-14,EMA,98,99,DEMA,20,15
2025-07-21,EMA,91,88,MIDPOINT,42,91
2025-07-28,TEMA,26,19,T3,100,27
2025-08-04,TEMA,70,3,WMA,90,55
2025-08-11,DEMA,93,72,MIDPOINT,100,21
2025-08-18,TEMA,37,109,T3,100,32
2025-08-25,DEMA,47,98,DEMA,62,77
2025-09-01,TEMA,85,51,TRIMA,63,95
2025-09-08,SMA,50,24,TRIMA,52,82
2025-09-15,DEMA,48,86,T3,37,64
2025-09-22,KAMA,52,45,TRIMA,98,94
2025-09-29,WMA,62,63,WMA,86,78
2025-10-06,TRIMA,40,72,EMA,58,23
2025-10-13,DEMA,30,103,DEMA,82,110
2025-10-20,KAMA,66,96,T3,43,48
2025-10-27,TEMA,39,10,T3,32,92
2025-11-03,TEMA,8,40,EMA,61,55
2025-11-10,TRIMA,89,109,WMA,40,95
2025-11-17,MIDPOINT,91,90,EMA,62,68
2025-11-24,WMA,94,104,EMA,60,53
2025-12-01,TEMA,43,98,MIDPOINT,33,19
2025-12-08,KAMA,91,80,DEMA,61,15
2025-12-15,TRIMA,50,94,TEMA,93,32
2025-12-22,SMA,32,90,TEMA,93,75
2025-12-29,T3,16,101,TEMA,94,59
2026-01-05,MIDPOINT,95,21,TEMA,79,72
2026-01-12,TEMA,80,70,DEMA,55,102
2026-01-19,TEMA,94,47,DEMA,51,81
2026-01-26,SMA,28,109,KAMA,11,20
2026-02-02,T3,59,2,EMA,77,97
2026-02-09,T3,44,80,MIDPOINT,71,58
2026-02-16,T3,32,79,MIDPOINT,62,59
2026-02-23,TEMA,56,10,MIDPOINT,61,67
2026-03-02,MIDPOINT,57,58,TEMA,35,67
2026-03-09,KAMA,21,86,WMA,21,48
2026-03-16,TRIMA,57,20,EMA,86,65
2026-03-23,KAMA,92,108,WMA,19,50
2026-03-30,KAMA,81,70,KAMA,88,34
2026-04-06,TEMA,81,65,KAMA,69,77
2026-04-13,EMA,51,97,DEMA,73,99
2026-04-20,MIDPOINT,66,33,DEMA,100,95
2026-04-27,WMA,32,83,TRIMA,52,59
2026-05-04,SMA,32,58,DEMA,60,74
2026-05-11,MIDPOINT,51,44,TEMA,87,95
2026-05-18,DEMA,15,8,DEMA,46,21
2026-05-25,TEMA,49,13,T3,16,105
2026-06-01,TEMA,23,30,TRIMA,91,90
2026-06-08,KAMA,74,90,SMA,96,71
2026-06-15,TEMA,5,28,SMA,57,84
2026-06-22,EMA,1,13,T3,88,5
