semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-01-08,TRIMA,26,92,DEMA,61,78
2024-01-15,KAMA,90,12,KAMA,31,110
2024-01-22,EMA,88,101,KAMA,61,70
2024-01-29,DEMA,99,87,KAMA,61,94
2024-02-05,TRIMA,97,102,KAMA,75,76
2024-02-12,T3,56,79,SMA,88,101
2024-02-19,TRIMA,70,110,MIDPOINT,58,65
2024-02-26,TEMA,63,89,MIDPOINT,67,51
2024-03-04,T3,86,26,T3,30,97
2024-03-11,T3,76,28,DEMA,52,94
2024-03-18,TEMA,52,79,TEMA,80,76
2024-03-25,MIDPOINT,46,70,T3,24,108
2024-04-01,T3,90,5,KAMA,68,64
2024-04-08,TRIMA,94,9,SMA,97,5
2024-04-15,KAMA,81,32,TEMA,76,92
2024-04-22,TEMA,97,97,TEMA,72,101
2024-04-29,T3,48,73,DEMA,52,57
2024-05-06,DEMA,60,93,TEMA,63,24
2024-05-13,KAMA,80,72,TEMA,93,85
2024-05-20,EMA,72,64,T3,29,85
2024-05-27,WMA,72,56,TEMA,92,62
2024-06-03,KAMA,39,50,TEMA,65,81
2024-06-10,WMA,48,64,MIDPOINT,59,89
2024-06-17,DEMA,64,81,MIDPOINT,65,35
2024-06-24,WMA,81,24,EMA,88,101
2024-07-01,KAMA,87,78,MIDPOINT,83,88
2024-07-08,T3,55,47,TRIMA,96,109
2024-07-15,T3,22,109,TRIMA,96,109
2024-07-22,KAMA,21,25,TEMA,87,91
2024-07-29,TRIMA,36,61,TEMA,73,80
2024-08-05,TEMA,74,93,EMA,47,110
2024-08-12,KAMA,72,95,KAMA,88,101
2024-08-19,MIDPOINT,75,76,KAMA,96,96
2024-08-26,SMA,55,101,TRIMA,92,96
2024-09-02,KAMA,91,91,DEMA,96,110
2024-09-09,KAMA,98,25,T3,27,108
2024-09-16,TEMA,87,84,EMA,27,110
2024-09-23,T3,30,95,MIDPOINT,20,110
2024-09-30,KAMA,72,98,DEMA,100,110
2024-10-07,WMA,46,40,TEMA,84,91
2024-10-14,MIDPOINT,46,35,EMA,89,6
2024-10-21,DEMA,74,99,TEMA,57,40
2024-10-28,KAMA,94,92,TEMA,96,75
2024-11-04,EMA,71,67,T3,20,105
2024-11-11,KAMA,74,60,KAMA,88,97
2024-11-18,EMA,97,62,WMA,84,109
2024-11-25,DEMA,89,103,MIDPOINT,99,98
2024-12-02,TEMA,79,89,MIDPOINT,83,88
2024-12-09,KAMA,74,87,TEMA,65,109
2024-12-16,SMA,100,22,EMA,92,47
